timestamp,agent_id,agent_name,agent_ip,os_name,os_version,os_platform,manager_name,manager_ip,location,rule_id,rule_level,rule_description,rule_groups,decoder_name,srcip,dstip,srcport,dstport,protocol,user,process,command,status,full_log,severity,attack_type
2025-12-27T18:31:31.877Z,003,win-01,10.10.2.15,Windows,2019,windows,wazuh-manager-01,10.10.0.10,EventChannel,100201,13,Malware execution suspected,"['malware', 'execution', 'attack']",windows_eventchannel,198.51.100.173,10.10.2.15,39885,80,udp,svc_backup,powershell.exe,powershell -EncodedCommand SQBFAFgAIA...,execution,Suspicious process execution: powershell.exe powershell -EncodedCommand SQBFAFgAIA...,critical,malware
2025-12-27T18:34:29.877Z,004,win-02,10.10.2.22,Windows,10,windows,wazuh-manager-01,10.10.0.10,EventChannel,100201,13,Malware execution suspected,"['malware', 'execution', 'attack']",windows_eventchannel,192.168.1.186,10.10.2.22,56751,8080,tcp,bob,powershell.exe,powershell -EncodedCommand SQBFAFgAIA...,execution,Suspicious process execution: powershell.exe powershell -EncodedCommand SQBFAFgAIA...,critical,malware
2025-12-27T18:24:41.877Z,004,win-02,10.10.2.22,Windows,10,windows,wazuh-manager-01,10.10.0.10,EventChannel,80703,3,File access normal,"['file', 'audit']",windows_eventchannel,10.10.2.22,10.10.2.22,0,0,local,alice,powershell.exe,open C:\Windows\Temp\tmp.log,,File accessed by user alice: C:\Windows\Temp\tmp.log,low,normal
2025-12-27T18:51:38.877Z,001,web-01,10.10.1.21,Ubuntu,22.04,linux,wazuh-manager-01,10.10.0.10,/var/log/auth.log,5712,10,SSHD brute force attempt,"['authentication_failed', 'ssh', 'attack']",sshd,203.0.113.207,10.10.1.21,46464,22,tcp,svc_backup,sshd,,Failed password,Failed password for invalid user svc_backup from 203.0.113.207 port 28235 ssh2,high,bruteforce
2025-12-27T17:54:20.877Z,001,web-01,10.10.1.21,Ubuntu,22.04,linux,wazuh-manager-01,10.10.0.10,/var/log/auth.log,5716,3,Successful SSH login,"['authentication_success', 'ssh']",sshd,203.0.113.124,10.10.1.21,51633,22,tcp,bob,sshd,,Accepted password,Accepted password for bob from 203.0.113.124 port 25161 ssh2,low,normal
2025-12-27T16:53:57.877Z,002,db-01,10.10.1.30,CentOS,7,linux,wazuh-manager-01,10.10.0.10,/var/log/nginx/access.log,31102,2,Web access normal,"['web', 'access']",nginx,192.168.1.4,10.10.1.30,39413,80,tcp,-,nginx,GET /login HTTP/1.1,200,"192.168.1.4 - - ""GET /login HTTP/1.1"" 200 1213",low,normal
2025-12-27T16:51:24.877Z,004,win-02,10.10.2.22,Windows,10,windows,wazuh-manager-01,10.10.0.10,EventChannel,80703,3,File access normal,"['file', 'audit']",windows_eventchannel,10.10.2.22,10.10.2.22,0,0,local,ec2-user,svchost.exe,open /var/www/html/index.html,,File accessed by user ec2-user: /var/www/html/index.html,low,normal
2025-12-27T16:40:44.877Z,001,web-01,10.10.1.21,Ubuntu,22.04,linux,wazuh-manager-01,10.10.0.10,/var/log/auth.log,5716,3,Successful SSH login,"['authentication_success', 'ssh']",sshd,172.16.5.28,10.10.1.21,22216,22,tcp,ubuntu,sshd,,Accepted password,Accepted password for ubuntu from 172.16.5.28 port 12402 ssh2,low,normal
2025-12-27T16:52:28.877Z,002,db-01,10.10.1.30,CentOS,7,linux,wazuh-manager-01,10.10.0.10,/var/log/nginx/access.log,31102,2,Web access normal,"['web', 'access']",nginx,172.16.5.79,10.10.1.30,30496,80,tcp,-,nginx,POST /assets/app.js HTTP/1.1,200,"172.16.5.79 - - ""POST /assets/app.js HTTP/1.1"" 200 830",low,normal
2025-12-27T16:50:51.877Z,001,web-01,10.10.1.21,Ubuntu,22.04,linux,wazuh-manager-01,10.10.0.10,/var/log/auth.log,5716,3,Successful SSH login,"['authentication_success', 'ssh']",sshd,172.16.5.197,10.10.1.21,25215,22,tcp,admin,sshd,,Accepted password,Accepted password for admin from 172.16.5.197 port 24766 ssh2,low,normal
2025-12-27T18:14:29.877Z,003,win-01,10.10.2.15,Windows,2019,windows,wazuh-manager-01,10.10.0.10,EventChannel,80703,3,File access normal,"['file', 'audit']",windows_eventchannel,10.10.2.15,10.10.2.15,0,0,local,alice,powershell.exe,open C:\Windows\Temp\tmp.log,,File accessed by user alice: C:\Windows\Temp\tmp.log,low,normal
2025-12-27T16:35:57.877Z,001,web-01,10.10.1.21,Ubuntu,22.04,linux,wazuh-manager-01,10.10.0.10,/var/log/audit/audit.log,80703,3,File access normal,"['file', 'audit']",auditd,10.10.1.21,10.10.1.21,0,0,local,ubuntu,sshd,open C:\Windows\Temp\tmp.log,,File accessed by user ubuntu: C:\Windows\Temp\tmp.log,low,normal
2025-12-27T17:53:16.877Z,002,db-01,10.10.1.30,CentOS,7,linux,wazuh-manager-01,10.10.0.10,/var/log/nginx/access.log,31102,2,Web access normal,"['web', 'access']",nginx,192.168.1.193,10.10.1.30,27512,80,tcp,-,nginx,POST /login HTTP/1.1,304,"192.168.1.193 - - ""POST /login HTTP/1.1"" 304 708",low,normal
2025-12-27T18:36:23.877Z,001,web-01,10.10.1.21,Ubuntu,22.04,linux,wazuh-manager-01,10.10.0.10,/var/log/firewall.log,10110,11,Possible DDoS flood detected,"['network', 'ddos', 'attack']",iptables,198.51.100.85,10.10.1.21,64374,443,udp,-,kernel,,SYN flood,IN=eth0 OUT= MAC=... SRC=198.51.100.85 DST=10.10.1.21 LEN=60 TOS=0x00 PREC=0x00 TTL=52 ID=12345 PROTO=TCP SPT=6701 DPT=443 SYN,high,ddos
2025-12-27T17:44:12.877Z,003,win-01,10.10.2.15,Windows,2019,windows,wazuh-manager-01,10.10.0.10,EventChannel,80703,3,File access normal,"['file', 'audit']",windows_eventchannel,10.10.2.15,10.10.2.15,0,0,local,svc_backup,sshd,open /etc/cron.daily/backup,,File accessed by user svc_backup: /etc/cron.daily/backup,low,normal
2025-12-27T19:00:34.877Z,002,db-01,10.10.1.30,CentOS,7,linux,wazuh-manager-01,10.10.0.10,/var/log/firewall.log,10110,11,Possible DDoS flood detected,"['network', 'ddos', 'attack']",iptables,203.0.113.207,10.10.1.30,31169,80,tcp,-,kernel,,SYN flood,IN=eth0 OUT= MAC=... SRC=203.0.113.207 DST=10.10.1.30 LEN=60 TOS=0x00 PREC=0x00 TTL=52 ID=12345 PROTO=TCP SPT=2183 DPT=80 SYN,high,ddos
2025-12-27T18:21:05.877Z,003,win-01,10.10.2.15,Windows,2019,windows,wazuh-manager-01,10.10.0.10,EventChannel,80703,3,File access normal,"['file', 'audit']",windows_eventchannel,10.10.2.15,10.10.2.15,0,0,local,svc_backup,apache2,open /etc/cron.daily/backup,,File accessed by user svc_backup: /etc/cron.daily/backup,low,normal
2025-12-27T17:51:27.877Z,003,win-01,10.10.2.15,Windows,2019,windows,wazuh-manager-01,10.10.0.10,EventChannel,80703,3,File access normal,"['file', 'audit']",windows_eventchannel,10.10.2.15,10.10.2.15,0,0,local,svc_backup,cmd.exe,open C:\Users\Public\report.docx,,File accessed by user svc_backup: C:\Users\Public\report.docx,low,normal
